filename,time(ms)
log-gcd-t3-s-n-gcd2.log,1503560
log-gcd-t3-s-n-gcd3.log,6052960
log-gcd-t3-s-p-gcd1.log,30448
log-gcd-t3-s-p-gcd2.log,145708
log-gcd-t3-s-p-gcd3.log,751500
log-gcd-t4-c-a-gcd1.log,838460
log-gcd-t4-c-a-gcd2.log,2632932
log-gcd-t4-c-a-gcd3.log,9800376
log-gcd-t4-c-i-gcd1.log,110484
log-gcd-t4-c-i-gcd2.log,847176
log-gcd-t4-c-i-gcd3.log,1956592
log-gcd-t4-c-n-gcd1.log,919272
log-gcd-t4-c-n-gcd2.log,7572204
log-gcd-t4-c-n-gcd3.log,-
log-gcd-t4-c-p-gcd1.log,88492
log-gcd-t4-c-p-gcd2.log,290164
log-gcd-t4-c-p-gcd3.log,968232
log-gcd-t4-s-a-gcd1.log,86300
log-gcd-t4-s-a-gcd2.log,405588
log-gcd-t4-s-a-gcd3.log,1148844
log-gcd-t4-s-i-gcd1.log,48416
log-gcd-t4-s-i-gcd2.log,354304
log-gcd-t4-s-i-gcd3.log,949968
log-gcd-t4-s-n-gcd1.log,154140
log-gcd-t4-s-n-gcd2.log,1191740
log-gcd-t4-s-n-gcd3.log,3175476
log-gcd-t4-s-p-gcd1.log,27744
log-gcd-t4-s-p-gcd2.log,122432
log-gcd-t4-s-p-gcd3.log,344740
log-gcd-t5-c-a-gcd1.log,24556
log-gcd-t5-c-a-gcd2.log,82344
log-gcd-t5-c-a-gcd3.log,167368
log-gcd-t5-c-i-gcd1.log,8392
log-gcd-t5-c-i-gcd2.log,35456
log-gcd-t5-c-i-gcd3.log,67280
log-gcd-t5-c-n-gcd1.log,25192
log-gcd-t5-c-n-gcd2.log,107556
log-gcd-t5-c-n-gcd3.log,198352
log-gcd-t5-c-p-gcd1.log,8008
log-gcd-t5-c-p-gcd2.log,26816
log-gcd-t5-c-p-gcd3.log,54732
log-gcd-t5-s-a-gcd1.log,2504
log-gcd-t5-s-a-gcd2.log,5824
log-gcd-t5-s-a-gcd3.log,11104
log-gcd-t5-s-i-gcd1.log,2928
log-gcd-t5-s-i-gcd2.log,8764
log-gcd-t5-s-i-gcd3.log,15972
log-gcd-t5-s-n-gcd1.log,3828
log-gcd-t5-s-n-gcd2.log,11756
log-gcd-t5-s-n-gcd3.log,21368
log-gcd-t5-s-p-gcd1.log,1964
log-gcd-t5-s-p-gcd2.log,4576
log-gcd-t5-s-p-gcd3.log,8608
