Computing reachable states... 
Iteration 396... 380 sym states passed, 8 waiting 0.00400001s
Iteration 397... 381 sym states passed, 8 waiting 0.00400001s
Iteration 398... 382 sym states passed, 8 waiting 0.00400001s
Iteration 399... 383 sym states passed, 8 waiting 0.00400001s
Iteration 400... 384 sym states passed, 8 waiting 0.00400001s
Iteration 401... 385 sym states passed, 8 waiting 0.00400001s
Iteration 402... 386 sym states passed, 8 waiting 0.00300001s
Iteration 403... 387 sym states passed, 8 waiting 0.00400001s
Iteration 404... 388 sym states passed, 8 waiting 0.00400001s
Iteration 405... 389 sym states passed, 8 waiting 0.00500001s
Iteration 406... 390 sym states passed, 8 waiting 0.00400001s
Iteration 407... 391 sym states passed, 8 waiting 0.00400001s
Iteration 408... 392 sym states passed, 8 waiting 0.00400001s
Iteration 409... 393 sym states passed, 8 waiting 0.00400001s
Iteration 410... 394 sym states passed, 7 waiting 0.00400001s
Iteration 411... 395 sym states passed, 7 waiting 0.00400001s
Iteration 412... 396 sym states passed, 7 waiting 0.00300001s
Iteration 413... 397 sym states passed, 7 waiting 0.00300001s
Iteration 414... 398 sym states passed, 7 waiting 0.00300001s
Iteration 415... 399 sym states passed, 7 waiting 0.00300001s
Iteration 416... 400 sym states passed, 7 waiting 0.00300001s
Iteration 417... 401 sym states passed, 7 waiting 0.00300001s
Iteration 418... 402 sym states passed, 7 waiting 0.00300001s
Iteration 419... 403 sym states passed, 8 waiting 0.00500001s
Iteration 420... 404 sym states passed, 9 waiting 0.00500001s
Iteration 421... 405 sym states passed, 10 waiting 0.00500001s
Iteration 422... 406 sym states passed, 11 waiting 0.00400001s
Iteration 423... 407 sym states passed, 12 waiting 0.00500001s
Iteration 424... 408 sym states passed, 13 waiting 0.00500001s
Iteration 425... 409 sym states passed, 14 waiting 0.00500001s
Iteration 426... 410 sym states passed, 15 waiting 0.00700001s
Iteration 427... 411 sym states passed, 16 waiting 0.00700001s
Iteration 428... 412 sym states passed, 17 waiting 0.00700001s
Iteration 429... 413 sym states passed, 18 waiting 0.00700001s
Iteration 430... 414 sym states passed, 20 waiting 0.00800001s
Iteration 431... 415 sym states passed, 21 waiting 0.00700001s
Iteration 432... 416 sym states passed, 23 waiting 0.00700001s
Iteration 433... 417 sym states passed, 23 waiting 0.00700001s
Iteration 434... 418 sym states passed, 24 waiting 0.00800001s
Iteration 435... 419 sym states passed, 25 waiting 0.00800001s
Iteration 436... 420 sym states passed, 26 waiting 0.00800001s
Iteration 437... 421 sym states passed, 27 waiting 0.00800001s
Iteration 438... 422 sym states passed, 28 waiting 0.00800001s
Iteration 439... 423 sym states passed, 29 waiting 0.00800001s
Iteration 440... 424 sym states passed, 29 waiting 0.00500001s
Iteration 441... 425 sym states passed, 29 waiting 0.00700001s
Iteration 442... 425 sym states passed, 28 waiting 0.0110001s
Iteration 443... 426 sym states passed, 28 waiting 0.00500001s
Iteration 444... 427 sym states passed, 28 waiting 0.00600001s
Iteration 445... 428 sym states passed, 28 waiting 0.00700001s
Iteration 446... 428 sym states passed, 27 waiting 0.0110001s
Iteration 447... 429 sym states passed, 27 waiting 0.00500001s
Iteration 448... 430 sym states passed, 27 waiting 0.00600001s
Iteration 449... 431 sym states passed, 27 waiting 0.00700001s
Iteration 450... 432 sym states passed, 27 waiting 0.00800001s
Iteration 451... 432 sym states passed, 26 waiting 0.0120001s
Iteration 452... 433 sym states passed, 26 waiting 0.00500001s
Iteration 453... 434 sym states passed, 26 waiting 0.00600001s
Iteration 454... 435 sym states passed, 26 waiting 0.00600001s
Iteration 455... 436 sym states passed, 25 waiting 0.00700001s
Iteration 456... 436 sym states passed, 24 waiting 0.0110001s
Iteration 457... 437 sym states passed, 24 waiting 0.00700001s
Iteration 458... 438 sym states passed, 24 waiting 0.00700001s
Iteration 459... 438 sym states passed, 23 waiting 0.0120001s
Iteration 460... 439 sym states passed, 23 waiting 0.00500001s
Iteration 461... 440 sym states passed, 23 waiting 0.00700001s
Iteration 462... 441 sym states passed, 23 waiting 0.00700001s
Iteration 463... 441 sym states passed, 22 waiting 0.0120001s
